species,recording,distance_mm,sheet_delay_s,sheet_cv_mm_s,match_method
Argentian Dollar,BYB_Recording_2024-02-05_20.00.19,8.95,0.882,10.14739229,exact
Argentian Dollar,BYB_Recording_2024-02-15_21.34.38,6.25,1.385,4.512635379,exact
Argentian Dollar,BYB_Recording_2024-02-28_18.04.24,8.85,1.76,5.028409091,order
Argentian Dollar,BYB_Recording_2024-02-28_18.09.31,9.32,4.42,2.108597285,order
Argentian Dollar,BYB_Recording_2024-02-29_18.32.58,11.47,7.085,1.618913197,exact
Argentian Dollar,BYB_Recording_2024-03-06_22.07.54,9.6,0.776,12.37113402,order
Argentian Dollar,BYB_Recording_2024-03-06_22.10.49,9.88,7.878,1.254125413,order
Argentian Dollar,BYB_Recording_2024-03-15_21.39.34,13.1,9.34,1.402569593,exact
Basil,BYB_Recording_2024-01-14_19.15.17,23.1,1.512,15.27777778,exact
Basil,BYB_Recording_2024-01-23_17.24.57,21.2,1.782,11.89674523,exact
Basil,BYB_Recording_2024-01-23_17.29.46,19.65,2.098,9.366062917,exact
Basil,BYB_Recording_2024-01-24_20.37.33,16.07,1.48,10.85810811,exact
Basil,BYB_Recording_2024-01-28_14.33.45,12.89,4.786,2.693272043,exact
Basil,BYB_Recording_2024-01-28_14.51.36,15.48,3.154,4.908053266,exact
Basil,BYB_Recording_2024-02-12_20.13.13,18.38,1.24,14.82258065,exact
Basil,BYB_Recording_2024-02-19_18.33.59,6.86,1.408,4.872159091,exact
Basil,BYB_Recording_2024-02-23_19.15.06,9.86,4.548,2.167985928,exact
Basil,BYB_Recording_2024-02-26_19.20.30,7.41,6.098,1.215152509,exact
Basil,BYB_Recording_2024-02-26_19.38.09,9.72,3.426,2.837127846,exact
Chilean Chile,BYB_Recording_2024-02-20_20.46.43,28.69,3.167,9.059046416,exact
Chilean Chile,BYB_Recording_2024-02-23_20.12.50,12.98,7.818,1.660271169,order
Chilean Chile,BYB_Recording_2024-02-23_20.16.53,14.56,3.763,3.869253255,exact
