species,latin,recording,duration_s,fs,n_channels,n_markers,distance_mm,stim_start_s,stim_stop_s
Argentian Dollar,Plectranthus verticillatus,BYB_Recording_2024-02-05_20.00.19,24.49,5000.0,2,2,,3.2532,10.9638
Argentian Dollar,Plectranthus verticillatus,BYB_Recording_2024-02-15_21.34.38,35.19,5000.0,2,2,,2.7506,10.6128
Argentian Dollar,Plectranthus verticillatus,BYB_Recording_2024-02-28_18.04.24,34.65,5000.0,2,2,,4.9132,17.659
Argentian Dollar,Plectranthus verticillatus,BYB_Recording_2024-02-28_18.09.31,40.15,5000.0,2,2,,8.1688,19.8686
Argentian Dollar,Plectranthus verticillatus,BYB_Recording_2024-02-29_18.32.58,39.76,5000.0,2,2,,6.1838,17.6024
Argentian Dollar,Plectranthus verticillatus,BYB_Recording_2024-03-06_22.07.54,45.76,5000.0,2,2,,7.3482,17.5422
Argentian Dollar,Plectranthus verticillatus,BYB_Recording_2024-03-06_22.10.49,39.3,5000.0,2,2,,5.0442,12.0728
Argentian Dollar,Plectranthus verticillatus,BYB_Recording_2024-03-15_21.39.34,44.51,5000.0,2,2,,4.8232,13.1508
Basil,Ocimum basilicum,BYB_Recording_2024-01-14_19.15.17,64.1,5000.0,2,2,,6.1862,14.384
Basil,Ocimum basilicum,BYB_Recording_2024-01-23_17.24.57,18.71,5000.0,2,2,,3.1174,11.7306
Basil,Ocimum basilicum,BYB_Recording_2024-01-23_17.29.46,31.2,5000.0,2,2,,9.5774,21.005
Basil,Ocimum basilicum,BYB_Recording_2024-01-24_20.37.33,46.31,5000.0,2,2,,8.7066,24.8942
Basil,Ocimum basilicum,BYB_Recording_2024-01-28_14.33.45,37.42,5000.0,2,2,,9.4228,18.0142
Basil,Ocimum basilicum,BYB_Recording_2024-01-28_14.51.36,43.45,5000.0,2,2,,3.1086,23.9344
Basil,Ocimum basilicum,BYB_Recording_2024-02-12_20.13.13,29.46,5000.0,2,2,,1.4656,9.7322
Basil,Ocimum basilicum,BYB_Recording_2024-02-19_18.33.59,40.44,5000.0,2,2,,3.0998,10.2818
Basil,Ocimum basilicum,BYB_Recording_2024-02-23_19.15.06,27.23,5000.0,2,2,,5.1838,13.4436
Basil,Ocimum basilicum,BYB_Recording_2024-02-26_19.20.30,41.24,5000.0,2,2,,5.1046,17.7018
Basil,Ocimum basilicum,BYB_Recording_2024-02-26_19.38.09,42.66,5000.0,2,2,,0.5232,17.5494
Chilean Chile,Capsicum annuum,BYB_Recording_2024-02-20_20.46.43,30.1,5000.0,2,2,,5.3138,15.1874
