species,paper_mean,paper_sd,mine_mean,mine_sd,n
Argentian Dollar,4.8,4.3,4.434333333333333,5.325304410704299,6
Basil,7.4,5.2,10.08588888888889,8.713421679289436,9
Chilean Chile,11.9,7.5,12.907555555555554,6.810690146951171,9
Creeping Inchplant,7.4,6.5,7.997357142857142,5.741957929368463,14
Hierbabuena,9.4,10.8,8.044,7.344080008188,13
Marijuana,8.3,6.0,7.5737499999999995,5.47685107147263,12
Mint,5.1,3.0,4.550928571428572,2.202170169638113,14
Ornamental Chile,6.4,3.3,6.542533333333333,4.336897094643105,15
Rosemary,6.6,4.7,6.134333333333333,6.654374400848413,6
Ruda,10.0,7.8,11.2705,8.143308658591478,12
Sensitive Mimosa,32.4,21.6,18.85285714285714,19.96287976318949,14
Tomato,7.0,4.9,8.635285714285715,5.4749023039772355,7
Venus Flytrap,35.3,13.7,29.65166666666666,12.307589671221232,12
