species,recording,base_r,event_r,r0,rpk,r0_over_rpk,lagpk
Argentian Dollar,BYB_Recording_2024-02-05_20.00.19,0.9116828650838802,0.12858329169451746,0.12858329169451752,0.2610582713057172,0.49254632328403664,9.7384
Argentian Dollar,BYB_Recording_2024-02-15_21.34.38,0.9914783042830512,-0.17242174109627045,-0.1724217410962704,0.74543700232558,-0.2313029009270495,2.6756
Argentian Dollar,BYB_Recording_2024-02-28_18.04.24,-0.03373544820641605,0.6831067282354802,0.6831067282354805,0.8500661209917706,0.8035924634174352,1.7554
Argentian Dollar,BYB_Recording_2024-02-28_18.09.31,0.9777563516394728,0.6323619837755365,0.6323619837755364,0.6323727174230257,0.9999830263906182,-0.0032
Argentian Dollar,BYB_Recording_2024-02-29_18.32.58,0.8320064239354424,0.015055501793927648,0.015055501793927662,0.6078655216554658,0.024767816659391026,5.9846
Argentian Dollar,BYB_Recording_2024-03-06_22.07.54,0.588561203173668,0.8438741374912874,0.8438741374912874,0.9025890375908677,0.9349483567224588,-0.6438
Argentian Dollar,BYB_Recording_2024-03-06_22.10.49,0.8210343415342526,0.08478765583536048,0.08478765583536045,0.7386748365810452,0.11478346308343185,7.989
Argentian Dollar,BYB_Recording_2024-03-15_21.39.34,-0.018343241640787218,-0.2876867674053831,-0.2876867674053832,0.616188902351875,-0.46688079955243905,11.2638
Basil,BYB_Recording_2024-01-14_19.15.17,0.7836637646968964,0.46111853289851673,0.46111853289851645,0.850366980020029,0.5422582764063294,1.5268
Basil,BYB_Recording_2024-01-23_17.24.57,-0.4380367016983896,0.5073465024487798,0.5073465024487799,0.8913979841322782,0.5691582340099758,-1.658
Basil,BYB_Recording_2024-01-23_17.29.46,0.07596433474691862,0.7344992708296153,0.7344992708296152,0.7344992708296152,1.0,0.0
Basil,BYB_Recording_2024-01-24_20.37.33,0.7596792519196084,0.43221781320633307,0.432217813206333,0.8464628073756657,0.5106164257191184,1.4556
Basil,BYB_Recording_2024-01-28_14.33.45,0.1256974601066308,0.09311850945319913,0.09311850945319922,0.4525417306500313,0.20576778481720065,4.5004
Basil,BYB_Recording_2024-01-28_14.51.36,0.713111116603788,0.2330774970854718,0.23307749708547174,0.7495559893285507,0.31095408535693464,2.9478
Basil,BYB_Recording_2024-02-12_20.13.13,0.6016288496171969,0.576492661154285,0.5764926611542847,0.7788477749318052,0.7401865675288878,0.6356
Basil,BYB_Recording_2024-02-19_18.33.59,0.5545153696705885,0.4695849162297286,0.4695849162297284,0.4983393540443692,0.9422994841140307,-0.6006
Basil,BYB_Recording_2024-02-23_19.15.06,-0.6312745588174953,0.06072746712776855,0.060727467127768664,0.7326163720616824,0.08289122307883086,4.5246
Basil,BYB_Recording_2024-02-26_19.20.30,0.32272866232064973,0.26642616859889345,0.26642616859889345,0.5002506815811784,0.5325853185382599,6.264
Basil,BYB_Recording_2024-02-26_19.38.09,0.9208101688780641,0.733038869411109,0.7330388694111087,0.7330405468803672,0.9999977116282781,0.0018
Chilean Chile,BYB_Recording_2024-02-20_20.46.43,0.9162757786344836,-0.13629161285673472,-0.13629161285673477,0.9288284155952987,-0.146734973401286,3.3132
Chilean Chile,BYB_Recording_2024-02-23_20.12.50,0.8100339265234497,0.02832161740531769,0.02832161740531762,0.37417859758777033,0.07569010517410546,8.7678
Chilean Chile,BYB_Recording_2024-02-23_20.16.53,0.5020357675558942,-0.04245916912304868,-0.0424591691230487,0.8184921598005989,-0.051874863570339644,-4.5078
Chilean Chile,BYB_Recording_2024-02-23_20.20.33,0.6472155626832312,0.10274947763398364,0.10274947763398357,0.3099292882387133,0.33152554964358194,8.5508
Chilean Chile,BYB_Recording_2024-02-26_20.31.22,0.8852523860691324,0.14597830613620716,0.14597830613620713,0.8588104369785193,0.16997733126042383,1.2618
Chilean Chile,BYB_Recording_2024-02-26_20.34.43,0.5486976246338884,-0.11462669148592539,-0.11462669148592537,0.45803164509946037,-0.2502593275209936,-9.2662
Chilean Chile,BYB_Recording_2024-03-11_20.19.30,0.9342398265007429,0.5304690816654011,0.5304690816654012,0.8628557374572029,0.6147830496308337,1.9276
Chilean Chile,BYB_Recording_2024-03-11_20.24.33,0.6426761772506984,0.5191144233168282,0.5191144233168282,0.9577677130885359,0.5420045134355467,1.3514
Chilean Chile,BYB_Recording_2024-03-11_20.27.38,0.6011866411365847,0.8084845900071111,0.8084845900071117,0.9519652713852889,0.8492795003231728,0.4844
Chilean Chile,BYB_Recording_2024-03-11_20.31.48,0.9608179369662475,-0.004325927518917345,-0.0043259275189172705,0.5194830134338428,-0.008327370495374601,-1.4518
Chilean Chile,BYB_Recording_2024-03-11_20.34.42,0.4819425550502013,0.5025660210450371,0.5025660210450373,0.8945004875011047,0.5618398514784674,1.0614
Creeping Inchplant,BYB_Recording_2024-02-05_19.37.45,0.30260447694013687,0.47116878356551395,0.4711687835655139,0.7981538966675392,0.5903232265515997,3.7584
Creeping Inchplant,BYB_Recording_2024-02-07_19.05.17,0.9346529287748682,0.5993268254033997,0.5993268254033994,0.8021072586038203,0.7471903775644813,1.423
Creeping Inchplant,BYB_Recording_2024-02-19_19.26.20,0.5698890009657339,0.4083299397589452,0.40832993975894527,0.6919439428177023,0.5901199714187292,2.3904
