species,their,default,onset
Argentian Dollar,0.882,9.738,0.03119999999999923
Argentian Dollar,1.385,2.676,0.020400000000000418
Argentian Dollar,1.76,1.755,9.904800000000002
Argentian Dollar,4.42,0.003,0.5442
Argentian Dollar,7.085,5.985,0.006400000000000183
Argentian Dollar,0.776,0.644,1.2248000000000019
Argentian Dollar,7.878,7.989,1.0381999999999998
Argentian Dollar,9.34,11.264,10.454
Basil,1.512,1.527,1.4875999999999987
Basil,1.782,1.658,0.0039999999999995595
Basil,2.098,0.0,6.232000000000001
Basil,1.48,1.456,9.871800000000002
Basil,4.786,4.5,0.000600000000000378
Basil,3.154,2.948,11.269400000000001
Basil,1.24,0.636,0.0009999999999998899
Basil,1.408,0.601,6.327999999999999
Basil,4.548,4.525,5.3629999999999995
Basil,6.098,6.264,9.215
Basil,3.426,0.002,2.8575999999999997
Chilean Chile,3.167,3.313,2.6408000000000005
Chilean Chile,7.818,8.768,0.22100000000000009
Chilean Chile,3.763,4.508,2.2618
Chilean Chile,8.459,8.551,0.1612
Chilean Chile,1.253,1.262,0.017599999999999838
Chilean Chile,1.85,9.266,8.847199999999999
Chilean Chile,1.787,1.928,0.05119999999999969
Chilean Chile,1.128,1.351,0.019000000000000128
Chilean Chile,0.636,0.484,0.8265999999999991
Chilean Chile,2.311,1.452,6.0238
Chilean Chile,1.109,1.061,0.07999999999999918
Creeping Inchplant,1.127,1.423,0.9544000000000015
Creeping Inchplant,2.279,2.39,4.583600000000001
Creeping Inchplant,2.279,5.165,0.17620000000000058
Creeping Inchplant,7.38,6.679,1.0990000000000002
Creeping Inchplant,7.017,7.275,0.1872000000000007
Creeping Inchplant,1.868,1.377,1.0347999999999997
Creeping Inchplant,2.878,1.569,0.2876000000000003
Creeping Inchplant,2.294,2.479,5.9728
Creeping Inchplant,1.004,1.511,0.3777999999999988
Creeping Inchplant,1.375,1.433,0.7382
Creeping Inchplant,0.975,0.804,0.8425999999999991
Creeping Inchplant,0.663,0.95,0.02119999999999944
Creeping Inchplant,3.871,4.111,6.8462
Creeping Inchplant,0.968,0.679,1.1155999999999997
Hierbabuena,2.768,4.039,10.4028
Hierbabuena,4.917,5.323,0.0036000000000004917
Hierbabuena,2.485,0.0,7.9518
Hierbabuena,2.837,2.664,2.4881999999999995
Hierbabuena,2.096,2.187,3.1353999999999997
Hierbabuena,3.01,3.437,0.3224
Hierbabuena,4.425,4.606,0.3186
Hierbabuena,0.404,0.423,5.627800000000001
Hierbabuena,4.018,4.13,0.01559999999999917
Hierbabuena,0.521,0.44,0.2572000000000001
Hierbabuena,0.13,0.187,0.025000000000000355
Hierbabuena,2.341,2.041,0.46000000000000085
Hierbabuena,0.801,1.312,6.162599999999999
Hierbabuena,0.468,0.323,0.006199999999999761
Hierbabuena,0.348,0.332,0.31320000000000014
Hierbabuena,0.718,0.827,0.0038000000000000256
Marijuana,2.72,2.663,8.598600000000001
Marijuana,1.679,1.593,1.5366
Marijuana,4.97,5.196,0.9367999999999999
Marijuana,2.87,2.886,3.0188000000000006
Marijuana,3.138,2.943,2.718
Marijuana,11.25,10.985,9.7118
Marijuana,6.205,5.897,5.313599999999999
Marijuana,1.368,1.376,2.8183999999999987
Marijuana,1.112,0.471,2.8253999999999984
Marijuana,1.593,1.444,8.098
Marijuana,3.986,4.632,3.2432
Marijuana,8.592,8.093,6.620799999999999
Marijuana,5.436,5.423,1.4655999999999985
Mint,2.399,2.993,1.0404
Mint,4.473,4.498,0.0011999999999998678
Mint,4.335,4.398,0.00140000000000029
Mint,2.364,9.094,0.00140000000000029
Mint,9.405,9.36,0.0035999999999996035
Mint,7.138,9.218,0.7850000000000001
Mint,9.315,9.135,2.4826000000000006
Mint,9.728,11.422,2.0820000000000007
Mint,17.024,15.365,0.0038000000000000256
Mint,0.665,0.901,10.828000000000001
Mint,2.405,2.376,4.413600000000002
Mint,1.754,1.783,4.4134
Mint,3.628,3.691,6.814599999999999
Mint,5.287,7.394,0.5244
Ornamental Chile,1.974,2.123,2.2848
Ornamental Chile,4.262,4.389,0.4381999999999997
Ornamental Chile,5.747,5.725,2.2546
Ornamental Chile,3.331,2.057,0.009600000000000719
Ornamental Chile,1.685,10.444,0.030400000000000205
Ornamental Chile,2.835,1.398,0.5983999999999998
Ornamental Chile,7.349,1.044,8.0716
Ornamental Chile,4.538,7.012,5.7194
Ornamental Chile,2.279,4.475,4.075800000000001
Ornamental Chile,4.318,4.451,8.634
Ornamental Chile,3.64,3.292,0.23179999999999978
Ornamental Chile,1.798,2.354,7.0818
Ornamental Chile,9.041,9.567,6.7212
Ornamental Chile,1.692,1.774,2.3000000000000007
Ornamental Chile,8.829,13.916,0.3894000000000002
Rosemary,5.016,4.519,0.7228000000000001
Rosemary,9.983,9.804,0.19199999999999973
Rosemary,2.859,2.365,0.001200000000000756
Rosemary,4.335,3.775,2.8284000000000002
Rosemary,0.887,0.672,1.2220000000000004
Rosemary,0.728,0.054,4.3706
Rosemary,6.826,0.542,
