species,recording,distance_mm,gain,sigma_s,kernel_delay_s,kernel_r2,attenuation,broadening,cv
Argentian Dollar,BYB_Recording_2024-02-15_21.34.38,6.25,0.23100524609737413,1.6,2.98,0.43588034526934816,0.14,1.499,2.336
Argentian Dollar,BYB_Recording_2024-02-28_18.04.24,8.85,0.4422936096074196,0.8,1.46,0.824880742030217,0.34,2.626,5.042
Argentian Dollar,BYB_Recording_2024-02-28_18.09.31,9.32,0.06381217570687536,0.6000000000000001,0.36,0.3374925161084792,0.064,0.717,
Argentian Dollar,BYB_Recording_2024-02-29_18.32.58,11.47,0.6332828058871799,1.7000000000000002,6.08,0.8370363048038936,0.28,2.537,1.917
Argentian Dollar,BYB_Recording_2024-03-06_22.07.54,9.6,1.4089195044303209,0.7000000000000001,0.64,0.8060561228402303,1.473,0.957,14.911
Argentian Dollar,BYB_Recording_2024-03-06_22.10.49,9.88,0.09462491284889807,1.0,8.12,0.6776034835704969,0.05,1.677,1.237
Argentian Dollar,BYB_Recording_2024-03-15_21.39.34,13.1,0.3397741881873569,3.0,12.94,0.5381328419074254,0.157,3.771,1.163
Basil,BYB_Recording_2024-01-14_19.15.17,23.1,0.47808926038577215,0.4,1.5,0.7403443279253704,0.519,1.094,15.13
Basil,BYB_Recording_2024-01-23_17.24.57,21.2,0.7731167417831053,0.4,1.62,0.8716723656585404,0.776,1.312,12.786
Basil,BYB_Recording_2024-01-23_17.29.46,19.65,0.41127211148076226,1.0,0.0,0.4330357357027633,0.829,0.398,
Basil,BYB_Recording_2024-01-24_20.37.33,16.07,0.4172480927792747,1.3,1.74,0.8646044776276759,0.245,1.093,11.04
Basil,BYB_Recording_2024-01-28_14.33.45,12.89,0.10584246127004811,0.9,4.54,0.23466651330350874,0.116,1.104,2.864
Basil,BYB_Recording_2024-01-28_14.51.36,15.48,0.21035539384879426,0.5,2.98,-0.06085821807827174,0.218,2.203,5.251
Basil,BYB_Recording_2024-02-12_20.13.13,18.38,2.574535486262757,0.5,0.0,0.3193525898047308,3.827,1.369,28.918
Basil,BYB_Recording_2024-02-19_18.33.59,6.86,1.3620743561853095,3.0,0.0,0.6277995844454248,0.554,1.539,11.422
Basil,BYB_Recording_2024-02-23_19.15.06,9.86,0.24482806655192973,0.8,4.78,0.5002105209925611,0.191,1.093,2.179
Basil,BYB_Recording_2024-02-26_19.20.30,7.41,0.22260801384510281,1.4000000000000001,6.56,0.22043800269173508,0.075,5.137,1.183
Basil,BYB_Recording_2024-02-26_19.38.09,9.72,0.14752156137516048,0.30000000000000004,0.02,0.5165746393182402,0.129,2.361,
Chilean Chile,BYB_Recording_2024-02-20_20.46.43,28.69,0.36822689498027494,0.2,3.32,0.8822619373724503,0.418,0.954,8.659
Chilean Chile,BYB_Recording_2024-02-23_20.16.53,14.56,1.5333666614912447,1.1,4.64,0.859675898261686,1.347,1.05,3.23
Chilean Chile,BYB_Recording_2024-02-26_20.31.22,13.4,0.5764284254045875,0.4,1.26,0.795978149232363,0.457,1.415,10.62
Chilean Chile,BYB_Recording_2024-02-26_20.34.43,41.71,1.3549271111031558,0.8,9.56,0.23311193885995096,1.828,0.636,4.501
Chilean Chile,BYB_Recording_2024-03-11_20.19.30,26.13,0.1948526594252105,1.1,1.84,0.7791024760060933,0.122,1.825,13.556
Chilean Chile,BYB_Recording_2024-03-11_20.24.33,24.72,0.2755433982738713,0.30000000000000004,1.36,0.9205603499640206,0.261,1.125,18.292
Chilean Chile,BYB_Recording_2024-03-11_20.27.38,11.69,0.5489804935811381,0.0,0.48,0.9094743368949536,0.625,0.874,24.133
Chilean Chile,BYB_Recording_2024-03-11_20.31.48,23.08,1.623792914375532,3.0,0.0,0.19312156168491967,2.466,1.67,15.898
Chilean Chile,BYB_Recording_2024-03-11_20.34.42,18.34,0.8899413147646787,0.30000000000000004,1.04,0.8100145346026348,0.851,1.662,17.279
Creeping Inchplant,BYB_Recording_2024-02-05_19.37.45,,0.6744263444177405,2.0,2.94,0.7348612259914089,0.492,0.989,
Creeping Inchplant,BYB_Recording_2024-02-07_19.05.17,7.13,0.4048369464071477,0.8,1.26,0.7078144990342676,0.353,1.464,5.011
Creeping Inchplant,BYB_Recording_2024-02-19_19.26.20,12.43,0.16352691793075166,1.9000000000000001,2.22,0.8240047224394278,0.048,4.492,5.2
Creeping Inchplant,BYB_Recording_2024-02-20_20.02.17,12.43,0.4936659902755405,2.4000000000000004,3.74,0.7283640024468537,0.543,1.377,2.406
Creeping Inchplant,BYB_Recording_2024-02-20_20.07.25,7.99,0.1117635732811915,0.7000000000000001,6.74,0.5251664951057635,0.129,2.362,1.196
Creeping Inchplant,BYB_Recording_2024-02-20_20.10.44,8.75,-1.1726677524042068,0.9,15.0,-0.07041819495388979,4.261,17.919,1.203
Creeping Inchplant,BYB_Recording_2024-02-26_20.12.11,16.14,0.3155054712293419,2.4000000000000004,2.2,0.47201379924237497,0.247,1.102,11.718
Creeping Inchplant,BYB_Recording_2024-02-28_18.46.50,12.82,2.7745700990411644,2.4000000000000004,0.0,0.34320591623898666,6.548,1.23,8.173
Creeping Inchplant,BYB_Recording_2024-02-28_18.55.01,9.39,0.9322584222622544,3.0,0.0,-0.00033047738512959057,19.872,2.493,3.788
Creeping Inchplant,BYB_Recording_2024-02-29_17.41.48,12.91,0.4576932340628994,1.9000000000000001,1.56,0.5008292733914675,0.174,2.447,8.543
Creeping Inchplant,BYB_Recording_2024-03-04_20.35.25,13.42,-0.7930736050754252,3.0,0.0,-0.2685764825478658,7.554,9.323,9.366
Creeping Inchplant,BYB_Recording_2024-03-04_20.43.03,14.0,0.29796812134700995,0.2,0.8,0.686468641040372,0.376,0.956,17.404
Creeping Inchplant,BYB_Recording_2024-03-04_20.50.21,16.51,0.3145333325108574,0.6000000000000001,1.0,0.7485659843559067,0.277,1.061,17.372
Creeping Inchplant,BYB_Recording_2024-03-06_21.56.45,18.42,0.18087544394076407,2.4000000000000004,4.9,0.5378297232213098,0.077,1.086,4.481
Creeping Inchplant,BYB_Recording_2024-03-06_21.59.50,10.94,6.303379908404087,1.0,0.0,0.5502615092333605,6.91,3.309,16.102
