species,recording,norm,r2_active,r2_passive,sigma,gain_active,gain_passive,tau,bic_active,bic_passive,passive_gap,winner
Argentian Dollar,BYB_Recording_2024-02-05_20.00.19,norm,0.22322938766859346,0.22322938766859346,0.0,0.38125577926509036,0.38125577926509036,0.9576,-9976.34983242925,-9968.51425318258,0.0,active
Argentian Dollar,BYB_Recording_2024-02-05_20.00.19,raw,-51.24853295109036,0.001602904204728861,4.0,1.0,1.0,0.9576,26492.55008617261,24744.62426492165,51.25013585529509,passive
Argentian Dollar,BYB_Recording_2024-02-15_21.34.38,norm,0.3731457712108097,0.46885660822618713,0.9203389830508475,0.6410359243239011,1.768852575330489,1.5288,-15961.984950912049,-16593.5898861103,0.09571083701537741,passive
Argentian Dollar,BYB_Recording_2024-02-15_21.34.38,raw,-53.43644177200774,0.1350999783897392,2.1254237288135593,1.0,1.0,1.5288,39036.61015450931,35809.330231599844,53.57154175039748,passive
Argentian Dollar,BYB_Recording_2024-02-28_18.04.24,norm,0.387209200533041,0.4914365018724679,0.7864406779661017,0.5555248419059193,1.7087242850448214,1.974,-13637.258849059934,-14289.061639497837,0.10422730133942693,passive
Argentian Dollar,BYB_Recording_2024-02-28_18.04.24,raw,-12.140137671910644,0.43117888492506107,1.188135593220339,1.0,1.0,1.974,30689.979009280876,26248.95026695389,12.571316556835704,passive
Argentian Dollar,BYB_Recording_2024-02-28_18.09.31,norm,0.35900432336150423,0.4839432394805586,0.5855932203389831,1.2314230776881139,3.075830813588385,0.0168,-16354.354444309443,-17171.70664916087,0.12493891611905439,passive
Argentian Dollar,BYB_Recording_2024-02-28_18.09.31,raw,0.08660012354314306,0.08660012354314306,0.0,1.0,1.0,0.0168,51184.40058050007,51192.64543989598,0.0,active
Argentian Dollar,BYB_Recording_2024-02-29_18.32.58,norm,0.12412635901639779,0.3696212460057724,1.8576271186440678,0.24469888012862112,3.762479857389404,5.8296,-16986.48155999122,-18293.134206573515,0.2454948869893746,passive
Argentian Dollar,BYB_Recording_2024-02-29_18.32.58,raw,-66.73004285960361,0.3586055541163232,2.1254237288135593,1.0,1.0,5.8296,34551.072741805,30014.608980160414,67.08864841371994,passive
Argentian Dollar,BYB_Recording_2024-03-06_22.07.54,norm,0.3816518927381929,0.414842110641341,0.4516949152542373,0.5346749888588574,0.7154232336632022,0.714,-15263.765067915774,-15507.628968203846,0.033190217903148134,passive
Argentian Dollar,BYB_Recording_2024-03-06_22.07.54,raw,0.3634399379077976,0.4136076173929969,0.3847457627118644,1.0,1.0,0.714,43934.278099081734,43567.31020882326,0.05016767948519929,passive
Argentian Dollar,BYB_Recording_2024-03-06_22.10.49,norm,0.6448156513176799,0.75354657106551,0.652542372881356,1.1694165295250616,2.193094660622609,7.8792,-14936.332642282845,-16418.746284839683,0.10873091974783011,passive
Argentian Dollar,BYB_Recording_2024-03-06_22.10.49,raw,-471.34643197943024,0.004888624319572377,3.5983050847457623,1.0,1.0,7.8792,36034.366710994305,33197.38337934641,471.3513206037498,passive
Argentian Dollar,BYB_Recording_2024-03-15_21.39.34,norm,0.07669195826467035,0.13777104747356894,1.3889830508474577,0.39037906338051126,1.801308501786535,2.3604,-13628.957354253813,-13943.885544955196,0.061079089208898596,passive
Argentian Dollar,BYB_Recording_2024-03-15_21.39.34,raw,-67.74499894217337,0.007509282771269832,4.0,1.0,1.0,2.3604,41611.39029807958,38311.47833201253,67.75250822494463,passive
Basil,BYB_Recording_2024-01-14_19.15.17,norm,0.5337537319035608,0.5471647971166751,0.25084745762711863,0.7544708579986376,0.8826205084849937,1.5624,-33517.692282639626,-33710.11815987402,0.013411065213114304,passive
Basil,BYB_Recording_2024-01-14_19.15.17,raw,-1.587648840878423,0.3324320216372453,0.8533898305084746,1.0,1.0,1.5624,61708.06335299379,54153.63744098682,1.9200808625156682,passive
Basil,BYB_Recording_2024-01-23_17.24.57,norm,0.6918743087490189,0.8250951902322912,0.5186440677966102,0.7478608946273622,1.3466965956653758,1.8312,-7600.447344924152,-8644.47641565464,0.13322088148327227,passive
Basil,BYB_Recording_2024-01-23_17.24.57,raw,0.4793768167760657,0.8145019848417362,0.4516949152542373,1.0,1.0,1.8312,21803.87148370417,19895.006993519084,0.3351251680656705,passive
Basil,BYB_Recording_2024-01-23_17.29.46,norm,0.3192417589509854,0.37559364995516953,0.5186440677966102,0.6280139233908234,1.128325842574982,2.1504,-7537.290745139049,-7751.932278477898,0.05635189100418414,passive
Basil,BYB_Recording_2024-01-23_17.29.46,raw,-0.4082860756360174,0.3703546762161454,0.7194915254237289,1.0,1.0,2.1504,24374.828478246705,22309.879151990564,0.7786407518521627,passive
Basil,BYB_Recording_2024-01-24_20.37.33,norm,0.4691383436484766,0.6037732662189648,0.5186440677966102,0.8072114803337658,1.3311376594292192,1.1172,-16296.026344417858,-17597.20859998597,0.13463492257048815,passive
Basil,BYB_Recording_2024-01-24_20.37.33,raw,-18.327870163823874,0.2178650834196597,1.790677966101695,1.0,1.0,1.1256,51152.27105682364,46959.572526570766,18.545735247243535,passive
Basil,BYB_Recording_2024-01-28_14.33.45,norm,0.23113998043064887,0.2484640921761575,0.652542372881356,0.15958420395764528,0.2447817448647153,4.4856,-18053.137529612406,-18121.007242107935,0.01732411174550863,passive
Basil,BYB_Recording_2024-01-28_14.33.45,raw,-71.22516370408923,0.0661352536202866,2.527118644067796,1.0,1.0,4.4856,31162.483329003575,28633.185483540514,71.29129895770951,passive
Basil,BYB_Recording_2024-01-28_14.51.36,norm,0.14277218140302184,0.23085705504379228,0.5855932203389831,0.37804744424739267,0.9427702763997703,2.9652,-16758.074473704834,-17270.371779939145,0.08808487364077044,passive
Basil,BYB_Recording_2024-01-28_14.51.36,raw,-13.834622253129321,0.0874432885574905,1.9245762711864407,1.0,1.0,2.9652,51121.721611855646,47363.91606459816,13.922065541686813,passive
