species,recording,duration_s,potential_type,sigma,r2_active,r2_passive,passive_gap,cv_xcorr_mm_s,valid
Argentian Dollar,BYB_Recording_2024-02-05_20.00.19,0.675,AP-like,0.0,0.2232293876685934,0.2232293876685934,0.0,0.919,False
Argentian Dollar,BYB_Recording_2024-02-15_21.34.38,0.755,AP-like,0.9203389830508476,0.3731457712108097,0.4688566082261871,0.0957108370153774,2.336,True
Argentian Dollar,BYB_Recording_2024-02-28_18.04.24,10.255,VP-like,0.7864406779661017,0.387209200533041,0.4914365018724679,0.1042273013394269,5.042,True
Argentian Dollar,BYB_Recording_2024-02-28_18.09.31,0.65,AP-like,0.5855932203389831,0.3590043233615042,0.4839432394805586,0.1249389161190543,,True
Argentian Dollar,BYB_Recording_2024-02-29_18.32.58,1.05,AP-like,1.857627118644068,0.1241263590163977,0.3696212460057724,0.2454948869893746,1.917,True
Argentian Dollar,BYB_Recording_2024-03-06_22.07.54,9.195,VP-like,0.4516949152542373,0.3816518927381929,0.414842110641341,0.0331902179031481,14.911,True
Argentian Dollar,BYB_Recording_2024-03-06_22.10.49,1.185,AP-like,0.652542372881356,0.6448156513176799,0.75354657106551,0.1087309197478301,1.237,True
Argentian Dollar,BYB_Recording_2024-03-15_21.39.34,2.475,VP-like,1.3889830508474577,0.0766919582646703,0.1377710474735689,0.0610790892088985,1.163,True
Basil,BYB_Recording_2024-01-14_19.15.17,0.95,AP-like,0.2508474576271186,0.5337537319035608,0.5471647971166751,0.0134110652131143,15.13,True
Basil,BYB_Recording_2024-01-23_17.24.57,1.16,AP-like,0.5186440677966102,0.6918743087490189,0.8250951902322912,0.1332208814832722,12.786,True
Basil,BYB_Recording_2024-01-23_17.29.46,1.39,AP-like,0.5186440677966102,0.3192417589509854,0.3755936499551695,0.0563518910041841,,True
Basil,BYB_Recording_2024-01-24_20.37.33,1.66,AP-like,0.5186440677966102,0.4691383436484766,0.6037732662189648,0.1346349225704881,11.04,True
Basil,BYB_Recording_2024-01-28_14.33.45,1.26,AP-like,0.652542372881356,0.2311399804306488,0.2484640921761575,0.0173241117455086,2.864,True
Basil,BYB_Recording_2024-01-28_14.51.36,0.795,AP-like,0.5855932203389831,0.1427721814030218,0.2308570550437922,0.0880848736407704,5.251,True
Basil,BYB_Recording_2024-02-12_20.13.13,3.965,VP-like,0.4516949152542373,0.3571957019029192,0.3703206495808682,0.0131249476779489,28.918,True
Basil,BYB_Recording_2024-02-19_18.33.59,9.61,VP-like,0.5186440677966102,0.145867962536472,0.23421399972824,0.088346037191768,11.422,True
Basil,BYB_Recording_2024-02-23_19.15.06,1.765,AP-like,0.1838983050847457,0.6084136770309976,0.6377195159526992,0.0293058389217015,2.179,True
Basil,BYB_Recording_2024-02-26_19.20.30,0.69,AP-like,0.652542372881356,0.366857501519287,0.5486808589703175,0.1818233574510305,1.183,True
Basil,BYB_Recording_2024-02-26_19.38.09,8.62,VP-like,0.1838983050847457,0.7871953255225245,0.8142359810890953,0.0270406555665708,,True
Chilean Chile,BYB_Recording_2024-02-20_20.46.43,1.305,AP-like,0.1838983050847457,0.8048030528065001,0.81664903857483,0.0118459857683298,8.659,True
Chilean Chile,BYB_Recording_2024-02-23_20.12.50,0.895,AP-like,0.3847457627118644,0.0759666475808171,0.1209724871692772,0.04500583958846,1.48,False
Chilean Chile,BYB_Recording_2024-02-23_20.16.53,4.855,VP-like,1.5898305084745763,0.1240438183660436,0.3048540081470363,0.1808101897809927,3.23,True
Chilean Chile,BYB_Recording_2024-02-23_20.20.33,0.08,AP-like,0.4516949152542373,0.108107798882779,0.1268903276624189,0.0187825287796399,2.119,False
Chilean Chile,BYB_Recording_2024-02-26_20.31.22,0.91,AP-like,0.4516949152542373,0.7233373502413146,0.8210839493120143,0.0977465990706997,10.62,True
Chilean Chile,BYB_Recording_2024-02-26_20.34.43,7.21,VP-like,0.1838983050847457,0.3077977454661992,0.3184491864723857,0.0106514410061865,4.501,True
Chilean Chile,BYB_Recording_2024-03-11_20.19.30,1.02,AP-like,0.1169491525423728,0.4479137772464286,0.4529311879682905,0.0050174107218619,13.556,True
Chilean Chile,BYB_Recording_2024-03-11_20.24.33,1.58,AP-like,0.3177966101694915,0.8938412283635911,0.8979784992916734,0.0041372709280822,18.292,True
Chilean Chile,BYB_Recording_2024-03-11_20.27.38,0.78,AP-like,0.2508474576271186,0.8942984533160152,0.9223441043091738,0.0280456509931585,24.133,True
Chilean Chile,BYB_Recording_2024-03-11_20.31.48,1.13,AP-like,0.8533898305084746,0.4040962955987134,0.5332727182598895,0.1291764226611761,15.898,True
