species,recording,duration_s,potential_type,sigma,passive_gap,r2_active,r2_passive,cv_xcorr_mm_s,attenuation_far_near,broadening_far_near,xcorr_corr,peak_delay_s,valid
Argentian Dollar,BYB_Recording_2024-02-15_21.34.38,0.755,AP-like,0.9203389830508476,0.0957108370153774,0.3731457712108097,0.4688566082261871,2.336,0.14,1.499,0.745,1.447,True
Argentian Dollar,BYB_Recording_2024-02-28_18.04.24,10.255,VP-like,0.7864406779661017,0.1042273013394269,0.387209200533041,0.4914365018724679,5.042,0.34,2.626,0.85,1.88,True
Argentian Dollar,BYB_Recording_2024-02-28_18.09.31,0.65,AP-like,0.5855932203389831,0.1249389161190543,0.3590043233615042,0.4839432394805586,,0.064,0.717,0.632,0.925,True
Argentian Dollar,BYB_Recording_2024-02-29_18.32.58,1.05,AP-like,1.857627118644068,0.2454948869893746,0.1241263590163977,0.3696212460057724,1.917,0.28,2.537,0.608,7.229,True
Argentian Dollar,BYB_Recording_2024-03-06_22.07.54,9.195,VP-like,0.4516949152542373,0.0331902179031481,0.3816518927381929,0.414842110641341,14.911,1.473,0.957,0.903,0.816,True
Argentian Dollar,BYB_Recording_2024-03-06_22.10.49,1.185,AP-like,0.652542372881356,0.1087309197478301,0.6448156513176799,0.75354657106551,1.237,0.05,1.677,0.739,8.13,True
Argentian Dollar,BYB_Recording_2024-03-15_21.39.34,2.475,VP-like,1.3889830508474577,0.0610790892088985,0.0766919582646703,0.1377710474735689,1.163,0.157,3.771,0.616,10.996,True
Basil,BYB_Recording_2024-01-14_19.15.17,0.95,AP-like,0.2508474576271186,0.0134110652131143,0.5337537319035608,0.5471647971166751,15.13,0.519,1.094,0.85,1.482,True
Basil,BYB_Recording_2024-01-23_17.24.57,1.16,AP-like,0.5186440677966102,0.1332208814832722,0.6918743087490189,0.8250951902322912,12.786,0.776,1.312,0.891,1.852,True
Basil,BYB_Recording_2024-01-23_17.29.46,1.39,AP-like,0.5186440677966102,0.0563518910041841,0.3192417589509854,0.3755936499551695,,0.829,0.398,0.734,2.167,True
Basil,BYB_Recording_2024-01-24_20.37.33,1.66,AP-like,0.5186440677966102,0.1346349225704881,0.4691383436484766,0.6037732662189648,11.04,0.245,1.093,0.846,0.365,True
Basil,BYB_Recording_2024-01-28_14.33.45,1.26,AP-like,0.652542372881356,0.0173241117455086,0.2311399804306488,0.2484640921761575,2.864,0.116,1.104,0.453,4.969,True
Basil,BYB_Recording_2024-01-28_14.51.36,0.795,AP-like,0.5855932203389831,0.0880848736407704,0.1427721814030218,0.2308570550437922,5.251,0.218,2.203,0.75,3.253,True
Basil,BYB_Recording_2024-02-12_20.13.13,3.965,VP-like,0.4516949152542373,0.0131249476779489,0.3571957019029192,0.3703206495808682,28.918,3.827,1.369,0.779,2.59,True
Basil,BYB_Recording_2024-02-19_18.33.59,9.61,VP-like,0.5186440677966102,0.088346037191768,0.145867962536472,0.23421399972824,11.422,0.554,1.539,0.498,1.458,True
