species,n,lambda_mm,decrement_slope,decrement_p,velocity_mm_s,delay_dist_r,delay_dist_p
ALL,157,inf,0.0122,0.338,4.65,0.5,2.096407209065929e-11
Argentian Dollar,7,inf,0.0203,0.935,0.74,0.69,0.0878334584382314
Basil,11,inf,0.1197,0.052,,-0.4,0.21704385757336717
Chilean Chile,9,inf,0.0092,0.817,4.62,0.74,0.022430785680110865
Creeping Inchplant,14,5.0,-0.1984,0.241,,-0.35,0.22623182347296766
Hierbabuena,14,3.3,-0.2997,0.03,0.98,0.81,0.0004208454045562419
Marijuana,12,inf,0.028,0.639,,-0.4,0.20052571760832522
Mint,14,inf,0.0042,0.871,2.8,0.89,1.9748378533066228e-05
Ornamental Chile,15,78.1,-0.0128,0.839,2.07,0.59,0.021002908048639087
Rosemary,7,7.1,-0.1404,0.148,2.27,0.87,0.011836032632101713
Ruda,14,151.6,-0.0066,0.941,13.65,0.19,0.5253342585163355
Sensitive Mimosa,17,inf,0.0824,0.072,,-0.11,0.6780366841041947
Tomato,8,10.7,-0.0935,0.533,,-0.05,0.8995919194011457
Venus Flytrap,15,18.0,-0.0555,0.364,206.93,0.1,0.730929381440951
