species,latin,recording,duration_s,fs,n_channels,distance_mm,stim_start_s,stim_stop_s,n_markers,near_channel,far_channel,peak_delay_s,onset_delay_s,xcorr_delay_s,xcorr_corr,cv_peak_mm_s,cv_xcorr_mm_s,cm_baseline_r,event_zero_lag_r,r0_over_rpk,delay_resolved,near_peak_amp,far_peak_amp,attenuation_far_near,near_fwhm_s,far_fwhm_s,broadening_far_near,near_rise_s,far_rise_s,rise_ratio_far_near,near_snr,far_snr,valid,flags,distance_mm_d,sheet_delay_s,cv_manual,tau_2tap,cv_2tap
Argentian Dollar,Plectranthus purpuratus,BYB_Recording_2024-02-05_20.00.19,24.49,5000.0,2,8.95,3.2532,10.9638,2,0,1,0.917,1.474,9.738,0.261,9.762,0.919,0.912,0.129,0.493,True,8347.9,625.0,0.075,1.358,0.369,0.272,0.766,0.208,0.272,34.9,22.7,False,common_mode_high;low_waveform_similarity,8.95,0.882,10.147392290249432,,
Argentian Dollar,Plectranthus purpuratus,BYB_Recording_2024-02-15_21.34.38,35.19,5000.0,2,6.25,2.7506,10.6128,2,0,1,1.447,2.455,2.676,0.745,4.318,2.336,0.991,-0.172,0.231,True,9864.4,1377.9,0.14,1.875,2.81,1.499,2.23,1.222,0.548,92.5,48.0,True,common_mode_high,6.25,1.385,4.512635379061372,2.6799999999997723,2.332089552239004
Argentian Dollar,Plectranthus purpuratus,BYB_Recording_2024-02-28_18.04.24,34.65,5000.0,2,8.85,4.9132,17.659,2,0,1,1.88,1.438,1.755,0.85,4.706,5.042,-0.034,0.683,0.804,True,2258.7,769.0,0.34,1.332,3.498,2.626,1.759,2.201,1.252,48.8,16.9,True,,8.85,1.76,5.028409090909091,1.7799999999997915,4.971910112360133
Argentian Dollar,Plectranthus purpuratus,BYB_Recording_2024-02-28_18.09.31,40.15,5000.0,2,9.32,8.1688,19.8686,2,0,1,0.925,-0.173,0.003,0.632,10.08,,0.978,0.632,1.0,False,8612.3,550.2,0.064,0.848,0.608,0.717,0.54,1.637,3.034,281.8,45.6,True,delay_unresolved;common_mode_high,9.32,4.42,2.1085972850678734,0.9999999999998082,9.320000000001787
Argentian Dollar,Plectranthus purpuratus,BYB_Recording_2024-02-29_18.32.58,39.76,5000.0,2,11.47,6.1838,17.6024,2,0,1,7.229,3.632,5.985,0.608,1.587,1.917,0.832,0.015,0.025,True,3762.0,1055.1,0.28,1.901,4.824,2.537,0.741,4.338,5.856,25.5,19.0,True,common_mode_high,11.47,7.085,1.6189131968948485,5.779999999999706,1.984429065744045
Argentian Dollar,Plectranthus purpuratus,BYB_Recording_2024-03-06_22.07.54,45.76,5000.0,2,9.6,7.3482,17.5422,2,1,0,0.816,0.73,0.644,0.903,11.759,14.911,0.589,0.844,0.935,True,1157.2,1704.8,1.473,2.407,2.304,0.957,1.324,1.411,1.065,14.5,23.1,True,,9.6,0.776,12.371134020618555,1.2199999999998037,7.868852459017661
Argentian Dollar,Plectranthus purpuratus,BYB_Recording_2024-03-06_22.10.49,39.3,5000.0,2,9.88,5.0442,12.0728,2,0,1,8.13,7.081,7.989,0.739,1.215,1.237,0.821,0.085,0.115,True,11953.6,597.2,0.05,1.356,2.274,1.677,0.908,1.957,2.154,220.1,52.3,True,common_mode_high,9.88,7.878,1.2541254125412542,7.999999999999659,1.2350000000000527
Argentian Dollar,Plectranthus purpuratus,BYB_Recording_2024-03-15_21.39.34,44.51,5000.0,2,13.1,4.8232,13.1508,2,0,1,10.996,10.442,11.264,0.616,1.191,1.163,-0.018,-0.288,0.467,True,6119.3,961.1,0.157,1.263,4.764,3.771,1.735,2.289,1.319,173.8,91.7,True,,13.1,9.34,1.4025695931477515,5.279999999999717,2.481060606060739
Basil,Ocimum basilicum,BYB_Recording_2024-01-14_19.15.17,64.1,5000.0,2,23.1,6.1862,14.384,2,0,1,1.482,1.476,1.527,0.85,15.591,15.13,0.784,0.461,0.542,True,1498.4,777.3,0.519,1.143,1.251,1.094,0.798,0.804,1.007,16.3,25.8,True,common_mode_high,23.1,1.512,15.277777777777779,1.5399999999997966,15.000000000001982
Basil,Ocimum basilicum,BYB_Recording_2024-01-23_17.24.57,18.71,5000.0,2,21.2,3.1174,11.7306,2,1,0,1.852,1.618,1.658,0.891,11.445,12.786,-0.438,0.507,0.569,True,5163.1,4007.9,0.776,1.441,1.89,1.312,0.977,1.211,1.24,245.6,532.8,True,,21.2,1.782,11.896745230078563,1.7199999999997928,12.32558139535032
