species,recording,distance_mm,a,b,tau,delayed_fraction,r2_active,r2_passive,delay_resolved2,cv_2tap
Argentian Dollar,BYB_Recording_2024-02-15_21.34.38,6.25,-0.002272703880859531,0.14026984376240084,2.6799999999997723,0.9840559614063626,0.14491183159495136,0.7281387826713572,True,2.332089552239004
Argentian Dollar,BYB_Recording_2024-02-28_18.04.24,8.85,0.13510418200167512,0.2943913358473919,1.7799999999997915,0.6854351759518168,0.8195426752067152,0.7759633595044382,True,4.971910112360133
Argentian Dollar,BYB_Recording_2024-02-28_18.09.31,9.32,0.037185148326399194,0.02661629200382005,0.9999999999998082,0.4171738422527959,0.4087337428676707,0.34068931376807465,True,9.320000000001789
Argentian Dollar,BYB_Recording_2024-02-29_18.32.58,11.47,0.09460013852853723,0.3271135386178063,5.779999999999706,0.7756768545694832,0.07851095917683526,0.2810723718911099,True,1.9844290657440455
Argentian Dollar,BYB_Recording_2024-03-06_22.07.54,9.6,0.5984708413936306,0.7952714643535671,1.2199999999998035,0.5706015101028413,0.8073890113656271,0.8189309654860002,True,7.868852459017661
Argentian Dollar,BYB_Recording_2024-03-06_22.10.49,9.88,0.004277046991994847,0.05665923450924046,7.999999999999659,0.9298111586951996,0.5709721665460181,0.01744872328532643,True,1.2350000000000527
Argentian Dollar,BYB_Recording_2024-03-15_21.39.34,13.1,-0.09366962749841787,-0.12166147568314749,5.279999999999717,0.564997224672014,0.26929685913167767,0.19673316430845456,True,2.481060606060739
Basil,BYB_Recording_2024-01-14_19.15.17,23.1,0.09798216885744092,0.39543507199707967,1.5399999999997966,0.8014212703882189,0.7568861082383923,0.66985122959068,True,15.000000000001982
Basil,BYB_Recording_2024-01-23_17.24.57,21.2,0.12593720962087634,0.6592851777163592,1.7199999999997928,0.8396158697818825,0.881285820089218,0.7543848483614586,True,12.325581395350321
Basil,BYB_Recording_2024-01-23_17.29.46,19.65,0.6214283273990071,-0.3813332469145026,4.65999999999973,0.38028306696490966,0.6760394856814709,0.36410693533587557,True,4.216738197425137
Basil,BYB_Recording_2024-01-24_20.37.33,16.07,0.07461088455800029,0.23283786957278496,1.7199999999997928,0.7573225340628258,0.7421300321921543,0.8968426370817221,True,9.34302325581508
Basil,BYB_Recording_2024-01-28_14.33.45,12.89,0.016994237584595354,0.07171160681128147,4.459999999999734,0.808420316605596,0.22547455892460422,0.07225365660828809,True,2.8901345291481544
Basil,BYB_Recording_2024-01-28_14.51.36,15.48,0.03138131186943149,-0.2284052740979482,-4.680000000000071,0.8792034940812075,0.05315033861361684,-0.17913248325252895,True,3.3076923076922577
Basil,BYB_Recording_2024-02-12_20.13.13,18.38,-0.1869997413469511,3.0699953284436754,-0.6200000000001573,0.9425851936094665,0.5116948208242326,0.18546325593686164,True,29.645161290315055
Basil,BYB_Recording_2024-02-19_18.33.59,6.86,0.43296632986725603,0.3803789040480252,-4.70000000000007,0.4676721374722481,0.4349977411795487,0.17608586318059471,True,1.4595744680850846
Basil,BYB_Recording_2024-02-23_19.15.06,9.86,-0.00796923750254269,0.18212791292581323,4.539999999999733,0.9580780801575132,0.46710919705030174,0.054337349344777075,True,2.1718061674010087
Basil,BYB_Recording_2024-02-26_19.20.30,7.41,0.017933736496360982,-0.08946461717972085,2.0199999999997864,0.833016653584375,0.1302573973812735,0.08358757478483281,True,3.668316831683556
Basil,BYB_Recording_2024-02-26_19.38.09,9.72,0.16311824106413136,0.04338192985714248,3.5199999999997544,0.21008181089439104,0.5534751712381015,0.4715189553979331,False,
Chilean Chile,BYB_Recording_2024-02-20_20.46.43,28.69,-0.024049608573127892,0.3663747110427654,3.3199999999997587,0.9384013562557058,0.8856294167798539,0.39283435689067725,True,8.64156626506087
Chilean Chile,BYB_Recording_2024-02-23_20.16.53,14.56,0.06931896237485642,1.155684059796058,4.619999999999731,0.943413231542881,0.6865385195465672,0.5529577614589591,True,3.1515151515153352
Chilean Chile,BYB_Recording_2024-02-26_20.31.22,13.4,0.04641928188338528,0.4768972921069325,1.2799999999998022,0.9112978946387353,0.7606929742660034,0.7206436459012892,True,10.468750000001618
Chilean Chile,BYB_Recording_2024-02-26_20.34.43,41.71,0.2636765203848006,-1.2224768541185176,2.179999999999783,0.8225778544069027,0.2286623683547404,0.11817876591879795,True,19.133027522937684
Chilean Chile,BYB_Recording_2024-03-11_20.19.30,26.13,0.04897350965451316,0.13519310186677488,2.039999999999786,0.7340804109389163,0.7811561688643056,0.7462569341876758,True,12.808823529413107
Chilean Chile,BYB_Recording_2024-03-11_20.24.33,24.72,0.0015457340318408988,0.2679303759589104,1.3599999999998005,0.9942639292518586,0.9174722658716036,0.8884954404879288,True,18.17647058823796
Chilean Chile,BYB_Recording_2024-03-11_20.27.38,11.69,-0.09143998420221094,0.6306919875357117,0.4399999999998201,0.8733749677608839,0.9119072235982304,0.8128944848231908,True,26.56818181819268
Chilean Chile,BYB_Recording_2024-03-11_20.31.48,23.08,0.2166034463487373,1.042693091382431,-1.5600000000001373,0.8279964727458201,0.291023005572846,0.022596988094997994,True,14.794871794870492
