species,CV,attenuation,broadening,waveform_sim,peak_onset,dispersion,AP_fraction,family,passiveness_score,predicted_mode
Argentian Dollar,2.1265,0.157,1.677,0.739,1.88,0.7194915254237289,0.625,Lamiaceae,0.5117045272876632,passive-leaning
Basil,11.04,0.245,1.312,0.734,2.59,0.5186440677966102,0.7272727272727273,Lamiaceae,0.4270976477386732,passive-leaning
Chilean Chile,13.556,0.625,1.125,0.863,1.81,0.3847457627118644,0.8181818181818182,Solanaceae,-0.5012618668588383,active-leaning
Creeping Inchplant,6.6865000000000006,0.376,1.464,0.694,3.263,0.3177966101694915,0.7333333333333333,Commelinaceae,0.47919998594394536,passive-leaning
Hierbabuena,3.969,0.38749999999999996,1.0205,0.85,1.821,0.21737288135593213,0.875,Lamiaceae,-0.682867713256651,active-leaning
Marijuana,5.832,0.7735,1.185,0.8175,3.6080000000000005,0.5186440677966102,0.6923076923076923,Cannabaceae,0.33788956306867807,ambiguous
Mint,3.9015000000000004,0.3505,1.4455,0.6785,4.445,0.15042372881355925,0.35714285714285715,Lamiaceae,0.6064616157477268,passive-leaning
Ornamental Chile,5.62,0.193,1.868,0.691,4.351,0.9203389830508476,0.8,Solanaceae,1.6282839882018247,passive-leaning
Rosemary,3.8034999999999997,0.4255,1.3195000000000001,0.7865,3.7085,0.3847457627118644,0.6666666666666666,Lamiaceae,0.30198764155285424,ambiguous
Ruda,10.016,0.3835,1.4015,0.8260000000000001,1.3815,0.4516949152542373,0.5714285714285714,Rutaceae,-0.3604998207017604,active-leaning
Sensitive Mimosa,14.289,1.028,1.021,0.926,1.22,0.1169491525423728,0.7777777777777778,Fabaceae,-1.29657559794951,active-leaning
Tomato,8.43,0.874,1.392,0.741,1.463,0.31779661016949146,0.42857142857142855,Solanaceae,-0.17577281618525323,ambiguous
Venus Flytrap,28.386,0.303,1.162,0.877,0.312,0.15042372881355925,0.7222222222222222,Droseraceae,-1.275647154589346,active-leaning
