species,attenuation_far_near,broadening_far_near,xcorr_corr,n,family,order,clade
Argentian Dollar,0.157,1.677,0.739,7,Lamiaceae,Lamiales,eudicot
Basil,0.245,1.312,0.734,11,Lamiaceae,Lamiales,eudicot
Chilean Chile,0.625,1.125,0.863,9,Solanaceae,Solanales,eudicot
Creeping Inchplant,0.376,1.464,0.694,15,Commelinaceae,Commelinales,monocot
Hierbabuena,0.38749999999999996,1.0205,0.85,14,Lamiaceae,Lamiales,eudicot
Marijuana,0.7735,1.185,0.8175,12,Cannabaceae,Rosales,eudicot
Mint,0.3505,1.4455,0.6785,14,Lamiaceae,Lamiales,eudicot
Ornamental Chile,0.193,1.868,0.691,15,Solanaceae,Solanales,eudicot
Rosemary,0.4255,1.3195000000000001,0.7865,8,Lamiaceae,Lamiales,eudicot
Ruda,0.3835,1.4015,0.8260000000000001,14,Rutaceae,Sapindales,eudicot
Sensitive Mimosa,1.028,1.021,0.926,17,Fabaceae,Fabales,eudicot
Tomato,0.874,1.392,0.741,13,Solanaceae,Solanales,eudicot
Venus Flytrap,0.5569999999999999,1.197,0.8955,16,Droseraceae,Caryophyllales,eudicot
