species,latin,n_valid,cv_xcorr_median,cv_xcorr_mean,cv_xcorr_std,cv_manual_mean,cv_2tap_median,delay_median_s,attenuation_median,broadening_median,waveform_corr_median,n_total
Argentian Dollar,Plectranthus purpuratus,7,2.1265,4.434333333333333,5.325304410704299,4.042340568320107,2.481060606060739,2.676,0.157,1.677,0.739,8
Rosemary,Salvia rosmarinus,8,3.8034999999999997,6.134333333333333,6.654374400848413,6.80423356926363,4.1455497382202235,2.3425000000000002,0.4255,1.3195000000000001,0.7865,9
Mint,Mentha spicata,14,3.9015000000000004,4.550928571428572,2.202170169638113,5.868781559445628,5.466707777239721,5.946,0.3505,1.4455,0.6785,14
Hierbabuena,Clinopodium douglasii,14,3.969,8.044,7.344080008188,7.427895679885988,4.770377358491309,1.6764999999999999,0.38749999999999996,1.0205,0.85,16
Ornamental Chile,Capsicum annuum,15,5.62,6.542533333333333,4.336897094643105,6.361177119688392,5.523148148148702,4.389,0.193,1.868,0.691,15
Marijuana,Cannabis sativa,12,5.832,7.57375,5.476851071472632,7.39103917204325,5.796920242169404,3.7874999999999996,0.7735,1.185,0.8175,13
Creeping Inchplant,Callisia repens,15,6.6865000000000006,7.997357142857142,5.741957929368462,8.192292241648735,4.472035907859135,1.569,0.376,1.464,0.694,15
Tomato,Solanum lycopersicum,13,8.43,8.635285714285715,5.474902303977235,9.872736236102975,5.53125000000081,1.239,0.874,1.392,0.741,14
Ruda,Ruta graveolens,14,10.016,12.649538461538462,9.247165237838969,9.95877105470145,8.631851851852877,0.9139999999999999,0.3835,1.4015,0.8260000000000001,14
Basil,Ocimum basilicum,11,11.04,10.085888888888888,8.713421679289434,7.3559113964579375,3.942527514554347,1.527,0.245,1.312,0.734,11
Chilean Chile,Capsicum baccatum,9,13.556,12.907555555555556,6.810690146951171,14.178965294385627,14.794871794870492,1.452,0.625,1.125,0.863,11
Sensitive Mimosa,Mimosa pudica,17,14.289,19.89806666666667,20.4533698951216,30.567253940979974,13.429689755208026,0.985,1.028,1.021,0.926,18
Venus Flytrap,Dionaea muscipula,17,28.386,32.944066666666664,14.206086550020263,41.51091166198655,29.54761904760768,0.312,0.303,1.162,0.877,18
